ID,PARAM,TYPE,Year,Jan,SYM,Feb,SYM,Mar,SYM,Apr,SYM,May,SYM,Jun,SYM,Jul,SYM,Aug,SYM,Sep,SYM,Oct,SYM,Nov,SYM,Dec,SYM,Mean
10KD001,2,8,2020,,,,,,,,,,,,,,,6.693,,6.306,,,,,,,,
10KD001,2,8,2021,,,,,,,,,,,,,6.556,,5.889,,5.417,,,,,,,,
10KD001,2,8,2022,,,,,,,,,,,8.098,,6.632,,,,,,,,,,,,
10FB006,1,1,2011,1890,,1720,,1770,,2280,,5190,,5810,,5730,,5460,,5290,,5160,,3180,,4070,,3980
10FB006,1,1,2012,3040,,2680,,2420,,2480,,6310,,7010,,6530,,5750,,5620,,5340,,3090,,3500,,4490
10FB006,1,1,2013,2840,,2690,,2710,,2900,,5930,,7380,,6970,,6190,,5800,,5410,,3240,,2960,,4600
10FB006,1,1,2014,2460,,2510,,2210,,2400,,5780,,6310,,5990,,4970,,4440,,4310,,2610,,2170,,3860
10FB006,1,1,2015,2150,,2180,,2030,,2430,,5540,,5340,,4710,,3870,,3770,,3830,,2420,,2090,,3370
10FB006,1,1,2016,1980,,1930,,1880,,2020,,5760,,6110,,5710,,4980,,5190,,5330,,4110,,2070,,3930
10FB006,1,1,2017,2170,,2530,,2580,,3120,,7110,,7460,,6640,,5300,,5210,,5000,,2950,,2610,,4400
10FB006,1,1,2018,2690,,2610,,2570,,2670,,6660,,6920,,6740,,5860,,5150,,4740,,2520,,2280,,4300
10FB006,1,1,2019,2480,,2320,,2210,,3460,,5010,,5300,,5040,,4510,,4710,,4700,,2550,,2710,,3760
10FB006,1,1,2020,2500,,2450,,2430,,2660,,7230,,7860,,9450,,9880,,10100,,8790,,5060,,2890,,5960
10FB006,1,1,2021,3670,,3770,,3860,,4530,,9410,,11000,,10400,,9520,,8350,,7320,,5530,,2310,,6650
10FB006,2,8,2011,,,,,,,,,7.513,,7.346,,7.315,,7.207,,7.135,,7.082,,,,,,
10FB006,2,8,2012,,,,,,,,,,,7.783,,7.613,,7.323,,7.271,,7.164,,,,,,
10FB006,2,8,2013,8.125,,8.060,,7.820,,7.942,,8.230,,7.905,,7.769,,7.488,,7.343,,7.187,,,,,,
10FB006,2,8,2014,,,,,,,7.538,,7.741,,7.534,,7.414,,7.001,,6.770,,6.713,,,,,,
10FB006,2,8,2015,8.271,,7.984,,,,,,7.309,,7.159,,6.890,,6.490,,6.440,,6.475,,5.992,,6.651,,
10FB006,2,8,2016,7.394,,,,7.933,,7.549,,7.474,,7.443,,7.283,,6.984,,7.072,,7.134,,6.629,,7.981,,
10FB006,2,8,2017,8.057,,7.497,,7.313,,7.785,,8.166,,7.931,,7.639,,7.119,,7.083,,6.992,,6.997,,9.035,,7.638
10FB006,2,8,2018,8.869,,8.204,,7.824,,7.776,,8.219,,7.743,,7.677,,7.344,,7.057,,6.875,,6.120,,,,
10FB006,2,8,2019,,,,,,,,,,,7.116,,7.011,,6.772,,6.862,,6.863,,6.154,,7.940,,
10FB006,2,8,2020,7.581,,7.264,,7.277,,7.535,,,,8.055,,8.551,,8.673,,8.738,,8.370,,7.248,,,,
10FB006,2,8,2021,,,,,,,,,11.105,,8.986,,8.814,,8.571,,8.217,,7.881,,,,,,
10FB001,2,8,2011,,,,,,,,,,,150.893,,150.921,,150.822,,150.768,,150.721,,150.921,,151.432,,
10FB001,2,8,2012,150.967,,150.731,,150.557,,150.698,,,,151.251,,151.201,,150.979,,150.930,,150.840,,150.213,,151.342,,
10FB001,2,8,2015,,,,,,,,,,,,,150.540,,150.200,,150.148,,,,,,,,
